Date,Price,Open,High,Low,Change %
8-Dec-11,1.0227,1.0096,1.0239,1.0052,1.30%
7-Dec-11,1.0096,1.0092,1.0133,1.0068,0.04%
6-Dec-11,1.0092,1.0171,1.0208,1.0086,-0.78%
5-Dec-11,1.0171,1.0173,1.0193,1.0122,-0.23%
2-Dec-11,1.0194,1.0144,1.0198,1.008,0.49%
1-Dec-11,1.0144,1.0182,1.0223,1.0137,-0.37%
30-Nov-11,1.0182,1.0323,1.0363,1.0124,-1.37%
29-Nov-11,1.0323,1.035,1.0365,1.0259,-0.26%
28-Nov-11,1.035,1.0411,1.0432,1.0305,-1.16%
25-Nov-11,1.0471,1.0482,1.0523,1.0439,-0.10%
24-Nov-11,1.0482,1.0481,1.0491,1.0439,0.01%
23-Nov-11,1.0481,1.0379,1.0497,1.0379,0.98%
22-Nov-11,1.0379,1.0393,1.0413,1.0347,-0.13%
21-Nov-11,1.0393,1.0278,1.0419,1.0278,1.14%
18-Nov-11,1.0276,1.0295,1.0303,1.02,-0.18%
17-Nov-11,1.0295,1.0253,1.0295,1.0209,0.41%
16-Nov-11,1.0253,1.0229,1.0288,1.0172,0.23%
15-Nov-11,1.0229,1.017,1.0263,1.0159,0.58%
14-Nov-11,1.017,1.0096,1.0194,1.0092,0.67%
11-Nov-11,1.0102,1.0165,1.0232,1.0098,-0.62%
10-Nov-11,1.0165,1.0239,1.0266,1.0163,-0.72%
9-Nov-11,1.0239,1.0094,1.0249,1.0079,1.44%
8-Nov-11,1.0094,1.0139,1.0182,1.0078,-0.44%
7-Nov-11,1.0139,1.0168,1.0205,1.0124,-0.49%
4-Nov-11,1.0189,1.0082,1.0229,1.0071,1.06%
3-Nov-11,1.0082,1.018,1.0217,1.0056,-0.96%
2-Nov-11,1.018,1.0209,1.0217,1.0107,-0.28%
1-Nov-11,1.0209,0.999,1.0224,0.9975,2.19%
31-Oct-11,0.999,0.9938,1.0028,0.9924,0.73%
28-Oct-11,0.9918,0.9912,0.997,0.9896,0.06%
27-Oct-11,0.9912,1.0034,1.0043,0.9892,-1.22%
26-Oct-11,1.0034,1.0163,1.0177,1.0033,-1.27%
25-Oct-11,1.0163,1.0036,1.0212,0.9991,1.27%
24-Oct-11,1.0036,1.0083,1.0092,1.0022,-0.30%
21-Oct-11,1.0066,1.0158,1.0188,1.0066,-0.91%
20-Oct-11,1.0158,1.0184,1.0247,1.0132,-0.26%
19-Oct-11,1.0184,1.0151,1.0217,1.0086,0.33%
18-Oct-11,1.0151,1.0224,1.0264,1.0113,-0.71%
17-Oct-11,1.0224,1.0106,1.0241,1.0044,1.25%
14-Oct-11,1.0098,1.0221,1.0234,1.0098,-1.20%
13-Oct-11,1.0221,1.0177,1.0272,1.0164,0.43%
12-Oct-11,1.0177,1.0297,1.0329,1.0133,-1.17%
11-Oct-11,1.0297,1.0277,1.0339,1.0257,0.19%
10-Oct-11,1.0277,1.036,1.0371,1.0252,-1.13%
7-Oct-11,1.0394,1.0377,1.0418,1.0235,0.16%
6-Oct-11,1.0377,1.0418,1.0482,1.0371,-0.39%
5-Oct-11,1.0418,1.0546,1.0572,1.0397,-1.21%
4-Oct-11,1.0546,1.0542,1.0657,1.0509,0.04%
3-Oct-11,1.0542,1.0475,1.0549,1.0433,0.38%
30-Sep-11,1.0502,1.037,1.0503,1.0356,1.27%
29-Sep-11,1.037,1.0355,1.0402,1.0257,0.14%
28-Sep-11,1.0355,1.021,1.0356,1.0205,1.42%
27-Sep-11,1.021,1.0259,1.0281,1.0144,-0.48%
26-Sep-11,1.0259,1.0273,1.0386,1.0241,-0.23%
23-Sep-11,1.0283,1.0258,1.0349,1.0225,0.24%
22-Sep-11,1.0258,1.0082,1.0361,1.0082,1.75%
21-Sep-11,1.0082,0.993,1.0089,0.9918,1.53%
20-Sep-11,0.993,0.9926,0.9949,0.9883,0.04%
19-Sep-11,0.9926,0.9825,0.9942,0.9806,1.49%
16-Sep-11,0.978,0.9842,0.9861,0.978,-0.63%
15-Sep-11,0.9842,0.9904,0.995,0.9831,-0.63%
14-Sep-11,0.9904,0.9867,0.994,0.9847,0.37%
13-Sep-11,0.9867,0.9928,0.9977,0.9851,-0.61%
12-Sep-11,0.9928,0.9982,1.0027,0.9916,-0.40%
9-Sep-11,0.9968,0.9898,0.998,0.9869,0.71%
8-Sep-11,0.9898,0.9844,0.9898,0.983,0.55%
7-Sep-11,0.9844,0.9893,0.991,0.9831,-0.50%
6-Sep-11,0.9893,0.9914,0.9965,0.9864,-0.21%
5-Sep-11,0.9914,0.987,0.9934,0.9854,0.62%
2-Sep-11,0.9853,0.9762,0.9858,0.9757,0.93%
1-Sep-11,0.9762,0.9785,0.9797,0.9737,-0.24%
31-Aug-11,0.9785,0.9786,0.9802,0.9726,-0.01%
30-Aug-11,0.9786,0.9768,0.9818,0.9758,0.18%
29-Aug-11,0.9768,0.9803,0.9819,0.9741,-0.51%
26-Aug-11,0.9818,0.9873,0.9924,0.981,-0.56%
25-Aug-11,0.9873,0.9876,0.9888,0.9792,-0.03%
24-Aug-11,0.9876,0.988,0.9906,0.984,-0.04%
23-Aug-11,0.988,0.9904,0.991,0.985,-0.24%
22-Aug-11,0.9904,0.9904,0.9908,0.983,0.06%
19-Aug-11,0.9898,0.9924,0.9924,0.9827,-0.26%
18-Aug-11,0.9924,0.9806,0.9938,0.9805,1.20%
17-Aug-11,0.9806,0.9832,0.9846,0.9775,-0.26%
16-Aug-11,0.9832,0.9814,0.9872,0.9802,0.18%
15-Aug-11,0.9814,0.9884,0.9906,0.9792,-0.59%
12-Aug-11,0.9872,0.9862,0.9918,0.9852,0.10%
11-Aug-11,0.9862,0.9928,0.9969,0.9834,-0.66%
10-Aug-11,0.9928,0.9812,0.9956,0.9794,1.18%
9-Aug-11,0.9812,0.9932,1.001,0.9767,-1.21%
8-Aug-11,0.9932,0.9836,0.9945,0.9783,1.14%
5-Aug-11,0.982,0.9804,0.9854,0.9743,0.16%
4-Aug-11,0.9804,0.9611,0.9816,0.9611,2.01%
